Facility Name,UNLocation Code,Facility SMDG Code
TERMINAL DEL GOLFO (TDG),ITSPE,TDG
TRIESTE MARINE TERMINAL (TMT),ITTRS,TMT
TERMINAL INTERMODALE VENEZIA,ITVCE,TIV
VECON - CONTAINER TERMINAL,ITVCE,VECON
REEFER TERMINAL,ITVDL,REEF
VADO GATEWAY TERMINAL,ITVDL,VGT
KINGSTON CONTAINER TERMINAL,JMKIN,KCT
AQABA CONTAINER TERMINAL,JOAQJ,ACT
NICHINAN EAST PUBLIC WHARF NO. 9,JPABU,EPW9
GAIKO -13M NO. 1 BERTH,JPAXT,CG20C
OHAMA -10M,JPAXT,CO10M
CHIBA CHUOFUTO NO. G BERTH,JPCHB,CHUGC
FUKUYAMA PORT INTERNATIONAL CONTAINER TERMINAL,JPFKY,FICT
MINOOKI GANPEKI NO. 8,JPFKY,FB20C
"HATTARO WHARF NO. 2, BERTH J",JPHHE,HT01C
"HITACHINAKA MINATO, KITAFUTOU B BERTH",JPHIC,HN02C
HIROSHIMA PORT INTERNATIONAL CONTAINER TERMINAL,JPHIJ,HICT
KAITA CONTAINER TERMINAL,JPHIJ,KAIC
UJINA GAIBOU NO. 5,JPHIJ,UG05C
NAKASHIMA NO. 4 BERTH,JPHIM,CS14C
HAKOZAKI WHARF NO. 5 BERTH,JPHKT,KB05C
ISLAND CITY CONTAINER TERMINAL,JPHKT,HIC
KASHII PARK CONTAINER TERMINAL,JPHKT,KSI
KASHII PARK PORT NO. 4 BERTH,JPHKT,PB04C
KASHII PARK PORT NO. 5 BERTH,JPHKT,PB05C
FUKUIFUTO NO. 3-4 WHARF,JPHMD,HAFKF
KOUGYOUKOU NO. 1-17 GANPEKI,JPHSM,KGYK
SHIRAHAMA INTERNATIONAL CONTAINER TERMINAL,JPHSM,SICT
"HITACHI MINATO, NO. 4 WHARF, C/D BERTH",JPHTC,HTDAI
TOMITA NO. 1/2 BERTH,JPIMB,TOM
NANATSUJIMA KITA NO. 1 BERTH,JPIMI,NS05C
BANNAGURO INTERNATIONAL CONTAINER TRANSPORT BASE,JPISI,BNG
SHINMINATO SOUTH BERTH (-10M),JPIWK,SI10C
MISATO NO. 7-1 WHARF,JPKCZ,MG01C
MISATO NO. 7-2 WHARF,JPKCZ,MG02C
NIIGATA WORLD TRADE TERMINAL (N-WTT),JPKIJ,EWC
KAMAISHI PUBLIC WHARF,JPKIS,KPW
NO. 5 BERTH,JPKMJ,HK08C
GOKUDEN WHARF,JPKNZ,GG01C
TOMIZU WHARF,JPKNZ,TG01C
KOMATSUSHIMA CONTAINER TERMINAL,JPKOM,KMCT
OKINOSU SOTO CHIKU (-7.5M) BERTH,JPKOM,OK08C
KASHIMA NORTH PUBLIC WHARF,JPKSM,NPW
KASHIMA SOUTH PUBLIC WHARF (MINAMIKOUKYOU) BERTH H,JPKSM,MK08C
KAWASAKI CONTAINER TERMINAL NO. 1 WHARF,JPKWS,KHC1C
"MAIZURU NO. 2 WHARF, NO. 2 BERTH",JPMAI,KB09C
MIZUSHIMA PORT INTERNATIONAL CONTAINER TERMINAL,JPMIZ,MICT
TAMASHIMA FOREIGN TRADE WHARF NO. 1 BERTH,JPMIZ,TE01C
TAMASHIMA HARBOR ISLAND NO. 4 BERTH,JPMIZ,TH04C
KAMINO PIER NO. 7 WHARF,JPMKW,TJ07C
KANEKO INTERNATIONAL CONTAINER TERMINAL,JPMKX,KNCT
MURAMATSU BERTH NO. 8,JPMKX,MM8
MURAMATU 7A/7B/8,JPMKX,MKC
HIBIKI CONTAINER TERMINAL,JPMOJ,HBK
HIBIKI CONTAINER TERMINAL,JPMOJ,HIBIK
KOKURA RORO TERMINAL,JPMOJ,KHC
TACHINOURA CONTAINER TERMINAL,JPMOJ,TAC
TACHINOURA CONTAINER TERMINAL NO. 1,JPMOJ,TAC1
TACHINOURA CONTAINER TERMINAL NO. 2,JPMOJ,TAC2
TACHINOURA NO. 1-42 GANPEKI,JPMOJ,TUC
TANOURA RORO TERMINAL,JPMOJ,TNC
SAKIMORI NO. 1-7 BERTHS,JPMUR,SAC
GAIKOU DAINIFUTO NO. 2/3,JPMYJ,MBC
MATSUYAMA PORT CONTAINER TERMINAL,JPMYJ,MPCT
SHINKOH PIER,JPNAH,SFC
NAKANOSEKI WHARF,JPNAN,NKS
EAST PIER NO. 4 BERTH,JPNAO,EP04C
KINJO PIER (RORO),JPNGO,KJC
"NABETA PIER CONTAINER TERMINAL, T1/2/3",JPNGO,NCT
"NCB CONTAINER TERMINAL, R1/2/3",JPNGO,NCB
"TOBISHIMA PIER NORTH CONTAINER TERMINAL, W90/91/92",JPNGO,TNT
"TOBISHIMA PIER SOUTH CONTAINER TERMINAL, W93/94",JPNGO,TST
"TOBISHIMA PIER SOUTH SIDE CONTAINER TERMINAL, TS1/2",JPNGO,TCB
"KOGAKURA PIER, YANAGI NISHI BERTH (-12M)",JPNGS,KY14C
OZAI CONTAINER TERMINAL,JPOIT,OCT
OZAI NO. 19/20 GANPEKI,JPOIT,OZC
OMAEZAKI INTERNATIONAL CONTAINER TERMINAL,JPOMZ,OZCT
OTSURUGI WHARF NO. 4 BERTH,JPONA,OU04C
SAKISHIMA CONTAINER TERMINAL C-1,JPOSA,OC1
SAKISHIMA CONTAINER TERMINAL C-2,JPOSA,OC2
SAKISHIMA CONTAINER TERMINAL C-3/4,JPOSA,OC34
SAKISHIMA CONTAINER TERMINAL C-8,JPOSA,OC8
SAKISHIMA CONTAINER TERMINAL C-9,JPOSA,OC9
EUROFOS,FRFOS,EURFO
YUMESHIMA CONTAINER TERMINAL C-10,JPOSA,OC10
YUMESHIMA CONTAINER TERMINAL C-11,JPOSA,OC11
YUMESHIMA CONTAINER TERMINAL C-12,JPOSA,OC12
OTAKE HIGASHISAKAE WHARF,JPOTK,OHW
SUKEMATSU WHARF NO. 8 PIER,JPSBK,SKM
GAIKOCHIKU D GANPEKI,JPSBS,GG06C
SHINWAKAHAMA INTERNATIONAL CONTAINER TERMINAL,JPSBS,SWCT
TAKASAGO PIER NO. 1 BERTH,JPSGM,SC01C
TAKASAGO NO. 2 QUAY,JPSKT,TS02C
SAKAIMINATO QUARANTINE,JPSMN,IQ01A
SHOWA SOUTH HAKUCHI (-13M),JPSMN,GS03A
SHOWA SOUTH NO. 2 BERTH,JPSMN,GS02C
SHOWA SOUTH NO. 3 BERTH,JPSMN,GS03C
NISHIHAMA NO. 5 BERTH,JPSMT,WM32C
SHIN-OKITSU CONTAINER TERMINAL,JPSMZ,OKT
SODESHI CONTAINER TERMINAL,JPSMZ,SDE
JINNO WHARF NO. 8,JPTHS,TJ8C
HARUMI WHARF,JPTKY,HAR
HIGASHI WHARF NO. 3,JPTMK,EH03C
IRIFUNE WHARF,JPTMK,IH01C
TOMAKOMAI INTERNATIONAL CONTAINER TERMINAL,JPTMK,TICT
KAWASAKI MATSUEI B BERTH,JPTRG,TK02C
KAWASAKI MATSUEI C BERTH,JPTRG,TK22C
SENDAI WHARF NO. 1,JPTTJ,SG21C
SENDAI WHARF NO. 3,JPTTJ,SG17C
AOMI CONTAINER TERMINAL BERTH NO. 0/1/2,JPTYO,AOO
AOMI CONTAINER TERMINAL BERTH NO. 3,JPTYO,AOH
AOMI CONTAINER TERMINAL BERTH NO. 4,JPTYO,AOE
CHUO BOUHATEI Y1 CONTAINER TERMINAL,JPTYO,CBY1
CHUO BOUHATEI Y2 CONTAINER TERMINAL,JPTYO,CBY2
APM TERMINALS AARHUS,DKAAR,APMT
OHI CONTAINER TERMINAL BERTH NO. 1/2,JPTYO,OHK
OHI CONTAINER TERMINAL BERTH NO. 3/4,JPTYO,OHM
OHI CONTAINER TERMINAL BERTH NO. 5,JPTYO,OHA
OHI CONTAINER TERMINAL BERTH NO. 6/7,JPTYO,OHN
SHINAGAWA CONTAINER TERMINAL,JPTYO,SHG
SHIBANAKA BERTH NO. 1,JPUBJ,SF01C
SHIBANAKA WEST (SHIBANAKANISI) BERTH NO. 1,JPUBJ,SF04C
SHIBANAKA WEST WHARF (SHIBANAKANISI),JPUBJ,SWW
"KAMIGUMI KOBE CONTAINER TERMINAL (KGCT), PC-18",JPUKB,KCT
PORT ISLAND M BERTH,JPUKB,PIM
PORT ISLAND PC-13,JPUKB,PC13
PORT ISLAND PC-14,JPUKB,PC14
PORT ISLAND PC-15,JPUKB,PC15
PORT ISLAND PC-16/17,JPUKB,PC16
ROKKO ISLAND RC-3,JPUKB,RC3
ROKKO ISLAND RC-4,JPUKB,RC4
ROKKO ISLAND RC-5,JPUKB,RC5
ROKKO ISLAND RC-6/7,JPUKB,RC6
ROKKO ISLAND RWX,JPUKB,RWX
ROKKO ISLAND SOUTH B BERTH,JPUKB,RSB
ROKKO ISLAND SOUTH B/C BERTH,JPUKB,RSBC
SUEHIRO PIER EAST,JPWKJ,SE01C
"KASUMIGAURA NORTH PIER, W80",JPYKK,KSN
"KASUMIGAURA SOUTH PIER, W26/W27",JPYKK,KSS
APM TERMINALS YOKOHAMA,JPYOK,APMYOK
DAIKOKU CONTAINER TERMINAL C-3,JPYOK,DC3
DAIKOKU CONTAINER TERMINAL C-4,JPYOK,DC4
DAIKOKU CONTAINER TERMINAL T-9,JPYOK,DT9
HONMOKU CONTAINER TERMINAL A-5.6,JPYOK,HA5
HONMOKU CONTAINER TERMINAL A-6.7,JPYOK,HA6
HONMOKU CONTAINER TERMINAL BC,JPYOK,HBC
HONMOKU CONTAINER TERMINAL D-1,JPYOK,HD1
HONMOKU CONTAINER TERMINAL D-4,JPYOK,HD4
HONMOKU CONTAINER TERMINAL D-5,JPYOK,HD5
MINAMI-HONMOKU CONTAINER TERMINAL MC-3,JPYOK,MHM
MOMBASA CONTAINER TERMINAL,KEMBA,MCT
SIHANOUKVILLE PORT,KHKOS,SPA
E1 CONTAINER TERMINAL,KRINC,E1CTC
HANJIN INCHEON CONTAINER TERMINAL (HJIT),KRINC,HJITC
INCHEON CONTAINER TERMINAL (ICT),KRINC,ICTPC
SUNKWANG NEWPORT CONTAINER TERMINAL (SNCT),KRINC,SNCTC
GWANGYANG WEST CONTAINER TERMINAL,KRKAN,GWCT
KOREA INTERNATIONAL CONTAINER TERMINAL,KRKAN,KIT
SM GWANGYANG TERMINAL,KRKAN,GIGCT
POHANG INTERNATIONAL CONTAINER TERMINAL (PICT),KRKPO,PICTC
PYEONGTAEK CONTAINER TERMINAL,KRPTK,PCTCC
PYEONGTAEK DONGBANG I-PORT,KRPTK,PNCTC
BUSAN NEW CONTAINER TERMINAL (BNCT),KRPUS,BNCT
BUSAN PORT TERMINAL (BPT),KRPUS,KBCT
DONGBU PUSAN CONTAINER TERMINAL (DPCT),KRPUS,DPCT
HANJIN BUSAN NEW PORT CO. (HJNC),KRPUS,HJNC
HUTCHISON BUSAN CONTAINER TERMINAL (HBCT),KRPUS,HBCT
PSA HYUNDAI PUSAN NEW-PORT TERMINAL (HPNT),KRPUS,HPNT
PUSAN NEW PORT CO. (PNC),KRPUS,PNC
PUSAN NEW PORT INTERNATIONAL TERMINAL (PNIT),KRPUS,PNP
JEONG IL ULSAN CONTAINER TERMINAL,KRUSN,JUCTC
ULSAN NEWPORT CONTAINER TERMINAL (UNCT),KRUSN,UDITC
SHUAIBA CONTAINER TERMINAL,KWSAA,SAACT
SHUWAIKH CONTAINER TERMINAL,KWSWK,SWKCT
BEIRUT CONTAINER TERMINAL CONSORTIUM (BCTC),LBBEY,BCTC
COLOMBO INTERNATIONAL CONTAINER TERMINAL,LKCMB,CICT
JAYA CONTAINER TERMINAL,LKCMB,LKJCT
SOUTH ASIA GATEWAY TERMINALS (SAGT),LKCMB,SAGT
UNITY CONTAINER TERMINAL,LKCMB,LKUCT
KLAIPEDA CONTAINER TERMINAL,LTKLJ,KKT
KLAIPEDA SMELTE CONTAINER TERMINAL (KSCT),LTKLJ,KAS
KLA-KLASCO,LTKLJ,KLAK
KLA-TERMINALAS,LTKLJ,KLAT
BALTIC CONTAINER TERMINAL RIGA,LVRIX,BCT
RIGA CONTAINER TERMINAL (RIGACT),LVRIX,RCT
RIGA UNIVERSAL TERMINAL,LVRIX,RUT
CONTAINER TERMINAL EST,MACAS,EST
SODEP,MACAS,SODEP
SOMAPORT,MACAS,SOMAP
TERMINAL WEST (OLD PORT),MACAS,OLP
APM TERMINALS TANGIER MEDPORT 2,MAPTM,APM2
EUROGATE TANGIER,MAPTM,EURTN
PORT TANGIER MEDITERRANEE,MAPTM,APMT
TANGER ALLIANCE TERMINAL,MAPTM,TAT
MOLLE DE COMMERCE CONTAINER TERMINAL,MATNG,PDC
AHLONE INTERNATIONAL PORT TERMINAL 1,MMRGN,AIPT1
ASIA WORLD PORT TERMINAL,MMRGN,AWPT
BO AUNG KYAW TERMINAL,MMRGN,BAKT
MYANMAR INDUSTRIAL PORT (MIP),MMRGN,MIP
MYANMAR INTERNATIONAL TERMINALS THILAWA (HUTCHISON MITT),MMRGN,MITT
APM TERMINALS NOUAKCHOTT,MRNKC,APMT
FRIENDSHIP PORT OF NOUAKCHOTT,MRNKC,PANPA
OPÉRATIONS PORTUAIRES MAURITANIENNES (OPM),MRNKC,OPM
MALTA FREEPORT TERMINALS LTD,MTMAR,FREE
ALTAMIRA TERMINAL PORTUARIA,MXATM,ATP
INFRAESTRUCTURA PORTUARIA MEXICANA S.A. DE C.,MXATM,IPM
ENSENADA INTL TERMINAL SA DE CV,MXESE,EIT
APM TERMINALS LAZARO CARDENAS TERMINAL DE CONTENEDORES II,MXLZC,APMT
LAZARO CARDENAS TERMINAL PORTUARIA I,MXLZC,LCT
TERMINAL MARITIMA DE MAZATLAN,MXMZT,TMAZ
ADMINISTR. PORTUARIA INTEGRAL DE PROGRESO,MXPGO,TCY
PUERTO CHIAPAS,MXTAP,PMD
TUXPAN PORT TERMINAL,MXTUX,TPT
INTERNACIONAL DE CONTENEDORES ASOCIADOS DE VERACRUZ (ICAVE),MXVER,ICAVE
CONTECON MANZANILLO,MXZLO,CMSA
SSA MEXICO HOLDINGS,MXZLO,SSAMX
TERMINAL INTL DE MANZANILLO (TIMSA),MXZLO,TIMSA
PENANG PORT,MYPEN,PENP
JOHOR PORT,MYPGU,JPB
NORTH PORT MALAYSIA,MYPKG,NPM
WESTPORT KELANG MULTI TERMINAL (KMT),MYPKG,KMT
PORT OF TANJUNG PELEPAS,MYTPP,PTP
DP WORLD MAPUTO,MZMPM,MIPS
WALVIS BAY OCEAN TERMINAL,NAWVB,WVB
APM TERMINALS APAPA,NGAPP,APMTER
WEST AFRICA CONTAINER TERMINAL (ONNE PORT COMPLEX),NGPHC,APMT
FIVE STAR TERMINAL TIN CAN ISLAND,NGTIN,FIVEST
TIN CAN ISLAND CONTAINER TERMINAL (TICT),NGTIN,TICT
PORT OF CORINTO,NICIO,EPN
AMSTERDAM CONTAINER TERMINAL (ACT),NLAMS,ACT
APM TERMINALS ROTTERDAM,NLRTM,APM
SEAYARD,FRFOS,SEYA
BARGE CENTER WAALHAVEN (BCW),NLRTM,RTMB
BERTH 5049,NLRTM,5049
ECT CITY TERMINAL HCD,NLRTM,HCD
ECT DELTA BARGE FEEDER TERMINAL (DBF),NLRTM,DBF
ECT DELTA DEDICATED EAST (DDE),NLRTM,DDE
ECT DELTA DEDICATED NORTH (DDN),NLRTM,DDN
ECT DELTA TERMINAL GATE,NLRTM,DCD
ECT EUROMAX TERMINAL (EMX),NLRTM,EMX
ECT HANNO WAALHAVEN TERMINAL,NLRTM,HAN
INTERFOREST TERMINAL ROTTERDAM,NLRTM,INTER
LOSPLAATS WAALHAVEN,NLRTM,LPL
NORTHSIDE,NLRTM,MST
RAIL SERVICE CENTER ROTTERDAM,NLRTM,RSC
ROTTERDAM CONTAINER TERMINAL (RCT) MAASVLAKTE,NLRTM,KRM
ROTTERDAM SHORT SEA TERMINAL (RST) NORTH SIDE,NLRTM,RSN
ROTTERDAM SHORT SEA TERMINAL (RST) SOUTH SIDE,NLRTM,RSZ
ROTTERDAM STEINWEG BEATRIXHAVEN,NLRTM,NLSBH
ROTTERDAM WORLD GATEWAY,NLRTM,RWG
RTM - 2740,NLRTM,RTM2
UNIPORT WAALHAVEN TERMINAL,NLRTM,UMTR
VAN DOORN DEPOT ROTTERDAM,NLRTM,DRN
WAALHAVEN,NLRTM,RTMW
KLOOSTERBOER VLISSINGEN B.V.,NLVLI,KBV
VERBRUGGE ZEELAND TERMINALS BV,NLVLI,VZT
KLOOSTERBOER TERMINAL ALESUND,NOAES,M423
KN TERMINAL BREIVIKA,NOAES,KNAES
SKUTVIKA TERMINAL,NOAES,SKUTVI
GREENCARRIER TERMINAL,NOBGO,NOBGON
BORG HAVN FREDRIKSTAD-OERA,NOFRK,OERK
ALKATEL,NOHAL,ALKA
SAUGBRUG,NOHAL,NOSK
LARVIK CONTAINER TERMINAL,NOLAR,NOLCT
MOSS CONTAINER TERMINAL,NOMSS,MCT
VAERLEKAIA,NOMSS,VAER
FILIPSTAD QUAY,NOOSL,NSF
ORMSUND QUAY,NOOSL,OSW
SJURSOYA SOUTH QUAY,NOOSL,SCT
HARBOUR TERMINAL,NOSKI,HBRT
WESTPORT TERMINAL RISAVIKA,NOTAE,RIS
PORTS OF AUCKLAND BLEDISLOE WHARF,NZAKL,PABW
PORTS OF AUCKLAND FERGUSSON WHARF,NZAKL,PAFW
PORTS OF AUCKLAND GENERAL WHARF,NZAKL,PAGW
LYTTELTON PORT COMPANY,NZLYT,LPC
NAPIER PORT,NZNPE,NPENZ
PORT TARANAKI,NZNPL,PTAR
PORT NELSON,NZNSN,PNEL
PORT CHALMERS,NZPOE,POOT
PRIMEPORT TIMARU,NZTIU,PTIM
MOUNT MAUNGANUI PORT,NZTRG,MMP
TAURANGA CONTAINER TERMINAL (SULPHUR POINT),NZTRG,TRGCT
CENTREPORT WELLINGTON,NZWLG,CPW
APM TERMINALS SALALAH,OMSLL,APMT
OMAN INTERNATIONAL CONTAINER TERMINAL,OMSOH,OICT
PPC CONTAINER TERMINAL BALBOA,PABLB,PPCBL
PPC CONTAINER TERMINAL CRISTOBAL,PACTB,PCPPC
MANZANILLO INTERNATIONAL TERMINAL (MIT),PAMIT,MIT
COLON CONTAINER TERMINAL (CCT),PAONX,CCT
PSA PANAMA INTERNATIONAL TERMINAL (PPIT),PAROD,PPIT
APM TERMINALS CALLAO,PECLL,APMCLL
DP WORLD CALLAO,PECLL,DPCLL
TERMINALES PORTUARIOS EUROANDINOS (TPE),PEPAI,TPE
PORT OF PAPEETE,PFPPT,POPA
CEBU INTERNATIONAL PORT,PHCEB,CIP
MANILA INTERNATIONAL CONTAINER TERMINAL (MICT),PHMNL,MIC
NORTH HARBOR DOMESTIC PORT,PHMNL,NHDP
SOUTH HARBOR CONTAINER TERMINAL,PHMNL,ATI
QASIM INTERNATIONAL CONTAINER TERMINAL (QICT),PKBQM,QICT
KARACHI INTERNATIONAL CONTAINER TERMINAL (KICT),PKKHI,KICT
PAKISTAN INTERNATIONAL CONTAINER TERMINAL (PICT),PKKHI,PICT
DEEPWATER CONTAINER TERMINAL,PLGDN,DCT
GDANSKI TERMINAL KONTENEROWY (GTK),PLGDN,PLGDA
BALTIC CONTAINER TERMINAL GDYNIA (BCT),PLGDY,PLBCT
GDYNIA CONTAINER TERMINAL (GCT),PLGDY,PLGCT
SZCZECIN CONTAINER TERMINAL,PLSZZ,DPSZ
LUIS AYALA COLON,PRSJU,LACS
"CANICAL PORT, MADEIRA",PTCNL,CSP
FIGUEIRA DA FOZ TERMINAL,PTFDF,LISC
"FUNCHAL PORT, MADEIRA",PTFNC,APRAM
LEIXOES CONTAINER TERMINAL,PTLEI,TCLA
BEATO MULTIPURPOSE TERMINAL (TMB),PTLIS,TMB
LISBON MULTIPURPOSE TERMINAL (TML),PTLIS,OLIS
LISCONT CONTAINER TERMINAL,PTLIS,LISC
SANTA APOLONIA CONTAINER TERMINAL (TCSA),PTLIS,SOTA
PORTO SANTO PORT,PTPXO,APRAM
PASIR PANJANG TERMINAL 2,SGSIN,PSAPP2
MULTI PURPOSE TERMINAL 1 - TERSADO,PTSET,APSS
MULTI PURPOSE TERMINAL 2 - SADOPORT,PTSET,SADOP
SINES CONTAINER TERMINAL,PTSIE,SCT
PUERTO CAACUPE-MI ASUNCION,PYASU,CCPMI
PUERTO FENIX,PYASU,PFNX
PUERTO SAN JOSE (EMPEDRIL S.A.),PYASU,PSJ
PUERTO CAACUPE-MI PILAR,PYPIL,CAP
TERPORT SAN ANTONIO,PYSAN,TERSAN
ANNP TERMINAL PORTUARIA VILLETA,PYVLL,ANNP
PUERTO SEGURO FLUVIAL,PYVLL,PSF
TERPORT VILLETA,PYVLL,TERVIL
DOHA MAIN PORT,QADOH,DMP
HAMAD CONTAINER TERMINAL (HCT),QAHMD,HCT
S.A.M.R. (SOCIETE DACCONAGE ET DE MANUTENTION DE LA REUNION),RELPT,SAMR2
CONSTANTA SOUTH CONTAINER TERMINAL (CSCT),ROCND,CSCT
DP WORLD CONSTANTA,ROCND,DPWCND
SOCEP CONTAINER TERMINAL,ROCND,SOCEP
CONTAINER TERMINAL SAINT-PETERSBURG (CTSP),RULED,CTSP
FIRST CONTAINER TERMINAL (FCT),RULED,FCT
"MOBY DIK TERMINAL, KRONSHTADT",RULED,MOD
MSCC PORT BRONKA,RULED,BRONKA
NEVA METAL TERMINAL (NMT),RULED,NVM
NORTHERN WHARF,RULED,STPN
PETROLESPORT TERMINAL,RULED,PLP
SEA FISHING PORT TERMINAL,RULED,SFP
SECOND STEVEDORING COMPANY (SSC),RULED,STPF
STP-2ND REGION,RULED,STPS
STP-BTS-RAYON 4,RULED,STPB
NUTEP CONTAINER TERMINAL,RUNVS,NUTEP
UST-LUGA CONTAINER TERMINAL (ULCT),RUULU,ULCT
PACIFIC LOGISTIC CONTAINER TERMINAL,RUVVO,PLCT
VLADIVOSTOK CONTAINER TERMINAL (VCT),RUVVO,VCT
VOSTOCHNAYA STEVEDORING COMPANY (VSC),RUVYP,VSC
DAMMAM CONTAINER TERMINAL,SADMM,DCT
DP WORLD SOUTH CONTAINER TERMINAL JEDDAH (SCT),SAJED,DPW
NORTHERN CONTAINER TERMINAL JEDDAH,SAJED,GCT
RED SEA GATEWAY TERMINAL,SAJED,RSGT
JUBAIL COMMERCIAL PORT,SAJUB,GSC
KING ABDULLAH NATIONAL CONTAINER TERMINAL (NCT),SAKAC,KACT
SOUTH PORT CONTAINER TERMINAL,SDPZU,SPC
AHUS CONTAINER TERMINAL,SEAHU,AHU
APM TERMINALS GOTHENBURG,SEGOT,CT1
CAR TERMINAL GOTHENBURG,SEGOT,CAR
RORO TERMINAL GOTHENBURG,SEGOT,RTG
YILPORT CONTAINER TERMINAL GAVLE,SEGVX,GVXFS
YILPORT TERMINAL GRANUDDEN,SEGVX,GVXGU
KATTEGAT TERMINAL HALMSTAD,SEHAD,KTH
COMBI TERMINAL,SEHEL,COTE
SKANE TERMINAL,SEHEL,SKT
WEST HARBOUR,SEHEL,VESTHA
WEST HARBOUR,SEHEL,VH
RORO TERMINAL KAPELLSKAR,SEKPS,RTK
CMP CONTAINER TERMINAL MALMO,SEMMA,CMPSE
PAMPUS CONTAINER TERMINAL,SENRK,SEPCT
RORO TERMINAL NYNASHAMN,SENYN,RTN
